枕元,6
勝手,6
面倒,6
むやみ,6
双方,6
こまやか,6
帽子,6
身体,6
席,6
どこぞ,6
山里,6
鶯,6
両方,6
かっこう,6
里,6
同様,6
村,6
す,6
工夫,6
近頃,6
ふり,6
水の上,6
あいさつ,6
是非,6
出,6
室,6
とこ,6
めし,6
晩,6
ちく,6
額,6
てつ,6
げん,6
筆,6
非常,6
意,6
刹那,6
ひざ,6
輪廓,6
修業,6
大丈夫,6
折,6
場合,6
かすみ,6
滑,6
しら,6
変化,6
柔,6
ふた,6
熊笹,6
遠く,6
きらい,6
品,6
鉢,6
あご,6
羊羹,6
個,6
肉,6
おし,6
印,6
きち,6
ころ,6
本堂,6
泰,6
安,6
黄,6
初,6
あざやか,6
坪,6
たく,6
散歩,6
九,6
真直,6
門,6
木蓮,6
野武士,6
悟,5
鬼,5
命,5
湧,5
乾坤,5
甲斐,5
心配,5
考,5
蒼,5
薄,5
棚,5
あすこ,5
くり,5
蚤,5
鳥,5
瞬時,5
前後,5
気の毒,5
景物,5
刻,5
自身,5
地位,5
人事,5
功徳,5
境界,5
きょうがい,5
一人ひとり,5
三脚,5
藪,5
すみ,5
着物,5
出来事,5
たち,5
観察,5
雅,5
立,5
こっち,5
懐,5
ふところ,5
すそ,5
あま,5
だれ,5
ぎん,5
揺,5
床几,5
羽,5
たばこ,5
火,5
姿勢,5
真,5
しょ,5
往来,5
がき,5
うぐいす,5
さっき,5
ずり,5
せつ,5
別,5
逗留,5
とうりゅう,5
平気,5
唄,5
憐れ,5
うた,5
町,5
寺,5
住居,5
眼前,5
船,5
衣,5
きれい,5
おとめ,5
むかし,5
思い,5
川,5
果,5
座敷,5
普段,5
えい,5
近く,5
茫然,5
時計,5
帰,5
みずから,5
起臥,5
われわれ,5
彩,5
気味,5
蚊,5
電車,5
涙,5
おれ,5
朧,5
化,5
状態,5
心地,5
腕,5
眠り,5
牛,5
側,5
昼,5
運命,5
統一,5
事実,5
がけ,5
周囲,5
くま,5
岨道,5
欄干,5
いき,5
今朝,5
皿,5
赤,5
禅,5
視線,5
がら,5
退屈,5
くず,5
説明,5
義理,5
種,5
しょうじん,5
容赦,5
そり,5
奴,5
きじ,5
つば,5
さく,5
多く,5
語,5
線,5
気合,5
時間,5
平和,5
供,5
鉄,5
丁寧,5
髯,5
久,5
この間,5
徂徠,5
るい,5
水際,5
かんじょう,5
苦痛,5
下駄,5
個人,5
壮烈,5
ぼけ,5
一行,5
くつ,4
豊か,4
紙,4
俗界,4
むし,4
ぼん,4
子,4
君,4
うじ,4
幸福,4
背中,4
つぎ,4
左右,4
一間,4
まんなか,4
貫,4
明らか,4
余裕,4
次,4
微塵,4
みじん,4
ぶつ,4
じゅん,4
きょく,4
免,4
いか,4
用,4
詩的,4
南山,4
なんざん,4
権利,4
世紀,4
掛,4
逍遥,4
頬,4
しだい,4
拝見,4
墨,4
芸,4
根,4
性,4
真似,4
挙,4
右手,4
脈,4
かげ,4
気持,4
動,4
こう,4
竈,4
茶店,4
未練,4
柱,4
はるか,4
袖,4
達者,4
頼み,4
切,4
なかば,4
古今,4
善,4
冥,4
想像,4
嫁,4
尾,4
御免,4
対,4
幸,4
光,4
催促,4
染,4
垢,4
東西,4
案内,4
滅多,4
紙燭,4
けが,4
問題,4
棟,4
むね,4
草原,4
あきらか,4
まとも,4
今夜,4
塵,4
ばく,4
高泉,4
彩色,4
小声,4
うつつ,4
感,4
現象,4
うらみ,4
布団,4
膝,4
幹,4
ぼうぜん,4
穴,4
枕,4
袂,4
たもと,4
失恋,4
題目,4
そのもの,4
美術,4
愚,4
不幸,4
山水,4
四角,4
きり,4
研究,4
余地,4
主張,4
重,4
みな,4
わん,4
なめらか,4
相,4
向,4
内,4
言語,4
活力,4
湛,4
勢,4
ふし,4
てん,4
飯,4
崖,4
みどり,4
おり,4
踵,4
みかん,4
きとう,4
元,4
女郎,4
傍,4
せき,4
箸,4
三味線,4
行,4
関係,4
虹,4
蜘蛛,4
くも,4
邪魔,4
顎,4
立派,4
透明,4
光線,4
父,4
たくさん,4
ちょうだい,4
咽喉,4
江戸,4
っ子,4
竜,4
英,4
幾分,4
当人,4
爪,4
のれん,4
陽炎,4
かげろう,4
その間,4
両者,4
小坊主,4
死,4
すり,4
賞,4
夕暮,4
帆,4
ずい,4
香,4
遠慮,4
稲妻,4
紅,4
主意,4
成功,4
しょく,4
記憶,4
把,4
無邪気,4
槽,4
肌,4
往生,4
岸,4
余り,4
畠,4
控,4
鱗,4
緑,4
虎,4
達磨,4
絵,4
日影,4
草履,4
袋,4
春水,4
蘭,4
ぺん,4
現実,4
舷,4
先生,4
遥か,4
甃,4
屋根,4
継,4
警察,4
短刀,4
停車場,4
個性,4
革命,4
山路,3
窮屈,3
尊,3
音楽,3
彫刻,3
胸裏,3
まつ,3
さい,3
うらら,3
一句,3
解脱,3
ふじ,3
ちょ,3
喜び,3
不愉快,3
いし,3
平衡,3
峰,3
杉,3
手前,3
平面,3
始末,3
悠然,3
三角,3
適当,3
鳴き,3
どころ,3
あんしょう,3
笑,3
そん,3
雑木,3
詩境,3
じょうし,3
余計,3
絶,3
根本,3
詩歌,3
うきよ,3
垣,3
次第,3
出世間,3
優,3
礼,3
みんな,3
王,3
会,3
にんじょう,3
蚊帳,3
かや,3
ほお,3
腰巻,3
今宵,3
言,3
ことば,3
おと,3
葛藤,3
かっとう,3
以外,3
美的,3
霧,3
くに,3
ここら,3
一筋,3
帽,3
銀,3
有体,3
ありてい,3
瞬間,3
煤,3
草鞋,3
わらじ,3
駄菓子,3
厘,3
隅,3
臼,3
にわとり,3
今しがた,3
茶釜,3
がま,3
盆,3
知らぬ顔,3
あけ,3
都,3
舞台,3
爺さん,3
写真,3
乾,3
夫婦,3
糞,3
いつの,3
一筆,3
板,3
逡巡,3
一角,3
天狗岩,3
存在,3
図,3
理想,3
べつ,3
おだやか,3
もち,3
磨,3
注文,3
だんな,3
湯治,3
匹,3
はく,3
節,3
実物,3
城下,3
仕合せ,3
器量,3
裾模様,3
朦朧,3
もうろう,3
帰り,3
峠,3
さだ,3
五輪,3
塔,3
祟,3
京都,3
おいで,3
色々,3
不人情,3
あな,3
気持ち,3
区別,3
めった,3
階段,3
掃除,3
ふだん,3
たて,3
浜,3
だらけ,3
